date,open,high,low,close,volume,adj_close
2024-04-01,150.69,155.74,150.61,155.49,31730434,155.49
2024-04-02,153.5,154.7,152.15,154.56,24585948,154.56
2024-04-03,153.6,155.08,152.73,154.92,24704991,154.92
2024-04-04,153.5,154.77,150.45,150.53,34724738,150.53
2024-04-05,150.03,153.42,149.6,152.5,23459246,152.5
2024-04-08,152.78,155.27,152.61,154.85,20701974,154.85
2024-04-09,156.09,158.56,155.19,156.6,31113013,156.6
2024-04-10,156.21,156.61,154.68,156.14,22838629,156.14
2024-04-11,156.91,159.68,156.46,159.41,27166431,159.41
2024-04-12,157.96,160.22,157.14,157.73,25353746,157.73
2024-04-15,158.86,159.24,154.59,154.86,27136472,154.86
2024-04-16,154.19,155.65,153.43,154.4,20779495,154.4
2024-04-17,155.62,157.08,154.58,155.47,21763130,155.47
2024-04-18,155.34,156.94,154.62,156.01,19883044,156.01
2024-04-19,156.2,156.36,152.3,154.09,32615639,154.09
2024-04-22,154.31,157.64,154.06,156.28,26446206,156.28
2024-04-23,156.96,158.97,156.28,158.26,21151568,158.26
2024-04-24,157.49,159.57,157.17,159.13,22779112,159.13
2024-04-25,151.33,156.49,150.87,156.0,57109730,156.0
2024-04-26,174.37,174.71,169.65,171.95,64665299,171.95
2024-04-29,169.06,169.55,165.21,166.15,45610024,166.15
2024-04-30,165.61,168.1,162.6,162.78,33562861,162.78
2024-05-01,164.3,167.12,163.09,163.86,33493151,163.86
