date,open,high,low,close,volume,adj_close
2025-08-04,309.08,312.12,303.0,309.26,78683905,309.26
2025-08-05,308.95,312.45,305.5,308.72,57961233,308.72
2025-08-06,307.89,320.47,306.93,319.91,78522920,319.91
2025-08-07,319.79,322.4,316.16,322.27,66658672,322.27
2025-08-08,321.43,335.15,320.98,329.65,91200319,329.65
2025-08-11,335.0,346.64,334.15,339.03,105320110,339.03
2025-08-12,345.0,345.26,332.94,340.84,80690076,340.84
2025-08-13,341.5,348.98,338.2,339.38,67838892,339.38
2025-08-14,335.76,340.47,330.4,335.58,75000662,335.58
2025-08-15,337.66,339.3,327.02,330.56,74319782,330.56
2025-08-18,329.62,336.27,329.59,335.16,56956551,335.16
2025-08-19,335.79,340.55,327.85,329.31,75955524,329.31
2025-08-20,329.22,331.37,314.6,323.9,77481718,323.9
2025-08-21,322.08,324.9,318.68,320.11,55744305,320.11
2025-08-22,321.66,340.25,319.69,340.01,94016258,340.01
