date,open,high,low,close,volume,adj_close
2024-04-01,73.24,73.58,72.81,73.37,14311746,73.37
2024-04-02,72.57,73.14,72.51,72.88,17290351,72.88
2024-04-03,72.42,72.87,72.11,72.44,11777913,72.44
2024-04-04,72.98,73.23,71.9,71.95,11087058,71.95
2024-04-05,71.68,72.03,71.41,71.66,12260274,71.66
2024-04-08,71.96,72.39,71.56,71.71,10560049,71.71
2024-04-09,72.37,73.24,72.31,72.99,14075949,72.99
2024-04-10,74.45,75.17,73.74,74.59,20572164,74.59
2024-04-11,75.22,75.43,74.37,74.85,14986818,74.85
2024-04-12,72.94,72.98,71.29,71.29,18231428,71.29
2024-04-15,71.73,72.05,70.17,70.62,15903893,70.62
2024-04-16,70.02,70.31,69.29,69.61,17478883,69.61
2024-04-17,69.71,70.01,68.73,68.82,12760587,68.82
2024-04-18,69.09,69.63,68.8,68.88,9491021,68.88
2024-04-19,68.42,69.15,68.36,69.07,13084098,69.07
2024-04-22,69.7,70.9,69.12,70.68,15015564,70.68
2024-04-23,71.08,72.8,70.99,72.51,15268166,72.51
2024-04-24,73.74,74.7,73.5,74.63,16375157,74.63
2024-04-25,73.81,75.2,73.81,75.11,11921914,75.11
2024-04-26,76.19,76.93,75.06,75.55,14216073,75.55
2024-04-29,75.65,76.53,75.22,76.41,13226204,76.41
2024-04-30,75.89,76.29,74.48,74.85,12855978,74.85
2024-05-01,74.99,76.25,74.87,75.51,10568660,75.51
